trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.995}",20,0,-127.09929085841154,"{0: 7, 1: 5, 2: 5, 3: 3, 4: 0}",0
2,False,"{'a': 0.7, 'e': 0.99}",25,0,-126.0929834917969,"{0: 10, 1: 4, 2: 10, 3: 1, 4: 0}",0
3,False,"{'a': 0.7, 'e': 0.985}",20,0,-138.85270536275002,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.98}",30,0,-100.88911637052004,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.7, 'e': 0.975}",20,0,-98.77834296046157,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.7, 'e': 0.97}",25,12,5.18163338569523,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.7, 'e': 0.965}",30,0,-114.6647944186267,"{0: 16, 1: 4, 2: 9, 3: 1, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.96}",25,0,-64.80845201119415,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.955}",20,0,-163.18998611601089,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 4}",0
10,False,"{'a': 0.7, 'e': 0.95}",20,0,-69.26192038133387,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
11,False,"{'a': 0.7, 'e': 0.945}",25,6,-116.92612635795841,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 2}",1
12,False,"{'a': 0.7, 'e': 0.94}",20,16,6.208351731712857,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.7, 'e': 0.9349999999999999}",20,0,-60.35026535968679,"{0: 14, 1: 2, 2: 1, 3: 3, 4: 0}",0
14,False,"{'a': 0.7, 'e': 0.9299999999999999}",25,13,7.709478418673767,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.7, 'e': 0.9249999999999999}",20,0,-122.50194525542659,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.7, 'e': 0.9199999999999999}",25,0,-97.11774474348476,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.7, 'e': 0.9149999999999999}",30,9,-77.17398436410322,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 2}",1
18,False,"{'a': 0.7, 'e': 0.9099999999999999}",25,0,-55.04591601268874,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.7, 'e': 0.9049999999999999}",25,0,-108.09703972046366,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.7, 'e': 0.8999999999999999}",20,0,-105.64302428446557,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
21,False,"{'a': 0.7, 'e': 0.8949999999999999}",20,0,-80.22020730824191,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.7, 'e': 0.8899999999999999}",25,0,-68.0695371791973,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
23,False,"{'a': 0.7, 'e': 0.8849999999999999}",20,0,-41.28542319456989,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.7, 'e': 0.8799999999999999}",20,0,-37.86985353074352,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.7, 'e': 0.8749999999999999}",20,4,-81.41842737157447,"{0: 8, 1: 1, 2: 5, 3: 2, 4: 0}",1
26,False,"{'a': 0.7, 'e': 0.8699999999999999}",30,10,-25.950225353820976,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
27,False,"{'a': 0.7, 'e': 0.8649999999999999}",30,4,-189.81939439993963,"{0: 9, 1: 7, 2: 7, 3: 1, 4: 2}",1
28,False,"{'a': 0.7, 'e': 0.8599999999999999}",25,0,-98.3239946816788,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
29,False,"{'a': 0.7, 'e': 0.8549999999999999}",20,0,-55.40809350251716,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
30,False,"{'a': 0.7, 'e': 0.8499999999999999}",30,19,-17.640038007226295,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
31,False,"{'a': 0.7, 'e': 0.8449999999999999}",30,0,-163.70931214888697,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
32,False,"{'a': 0.7, 'e': 0.8399999999999999}",35,0,-176.1116918387734,"{0: 21, 1: 2, 2: 9, 3: 1, 4: 2}",0
33,False,"{'a': 0.7, 'e': 0.8349999999999999}",25,0,-157.37866145127398,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
34,False,"{'a': 0.7, 'e': 0.8299999999999998}",25,0,-63.789959328586114,"{0: 19, 1: 1, 2: 2, 3: 3, 4: 0}",0
35,False,"{'a': 0.7, 'e': 0.8249999999999998}",30,0,-150.87131231755748,"{0: 17, 1: 4, 2: 5, 3: 3, 4: 1}",0
36,False,"{'a': 0.7, 'e': 0.8199999999999998}",30,12,-84.49422459215597,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
37,False,"{'a': 0.7, 'e': 0.8149999999999998}",25,0,-161.4766443537422,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
38,False,"{'a': 0.7, 'e': 0.8099999999999998}",20,0,-93.1088345371541,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
39,False,"{'a': 0.7, 'e': 0.8049999999999998}",25,6,-84.53430543762798,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 1}",1
40,False,"{'a': 0.7, 'e': 0.7999999999999998}",25,15,-55.77515454440064,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
41,False,"{'a': 0.7, 'e': 0.7949999999999998}",25,0,-87.00183964417147,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
42,False,"{'a': 0.7, 'e': 0.7899999999999998}",30,17,-6.580848837443874,"{0: 9, 1: 4, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.7, 'e': 0.7849999999999998}",25,8,-101.30589941003875,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
44,False,"{'a': 0.7, 'e': 0.7799999999999998}",30,0,-109.62551553898727,"{0: 20, 1: 5, 2: 3, 3: 0, 4: 2}",0
45,False,"{'a': 0.7, 'e': 0.7749999999999998}",30,0,-139.84697196602144,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
46,False,"{'a': 0.7, 'e': 0.7699999999999998}",25,15,-7.193984179544165,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.7649999999999998}",25,0,-74.69967850542136,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
48,False,"{'a': 0.7, 'e': 0.7599999999999998}",20,0,-147.45533744435977,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
49,False,"{'a': 0.7, 'e': 0.7549999999999998}",20,0,-77.7732095888996,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
50,False,"{'a': 0.7, 'e': 0.7499999999999998}",20,0,-129.70604338961647,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
51,False,"{'a': 0.7, 'e': 0.7449999999999998}",20,0,-40.66673957527246,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
52,False,"{'a': 0.7, 'e': 0.7399999999999998}",25,0,-196.73296651205268,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
53,False,"{'a': 0.7, 'e': 0.7349999999999998}",25,6,-95.9066313512827,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 2}",1
54,False,"{'a': 0.7, 'e': 0.7299999999999998}",30,0,-11.506826092725465,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.7, 'e': 0.7249999999999998}",20,14,0.04988803966457578,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.7199999999999998}",25,14,-47.14049572188706,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
