trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.995}",25,0,-106.66398186932592,"{0: 12, 1: 7, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.7, 'e': 0.99}",25,0,-117.11538648960546,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.985}",35,0,-226.62872957109963,"{0: 20, 1: 1, 2: 9, 3: 2, 4: 3}",0
4,False,"{'a': 0.7, 'e': 0.98}",30,0,-240.8931220833079,"{0: 15, 1: 3, 2: 4, 3: 6, 4: 2}",0
5,False,"{'a': 0.7, 'e': 0.975}",25,0,-132.73103063445248,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.97}",30,0,-129.95493169468838,"{0: 17, 1: 8, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.7, 'e': 0.965}",20,0,-91.38497647215601,"{0: 9, 1: 2, 2: 9, 3: 0, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.96}",25,0,-129.2441086605867,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.7, 'e': 0.955}",25,0,-172.67524310000465,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.7, 'e': 0.95}",20,0,-135.42483003467143,"{0: 7, 1: 3, 2: 9, 3: 0, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.945}",20,3,-165.03413694891373,"{0: 8, 1: 3, 2: 2, 3: 1, 4: 3}",1
12,False,"{'a': 0.7, 'e': 0.94}",20,0,-88.58699100839394,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.7, 'e': 0.9349999999999999}",20,0,-52.0602544256501,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.7, 'e': 0.9299999999999999}",25,0,-68.1072292522964,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.7, 'e': 0.9249999999999999}",20,0,-261.0602552269575,"{0: 8, 1: 1, 2: 5, 3: 1, 4: 5}",0
16,False,"{'a': 0.7, 'e': 0.9199999999999999}",25,0,-160.3511105599589,"{0: 7, 1: 8, 2: 9, 3: 0, 4: 1}",0
17,False,"{'a': 0.7, 'e': 0.9149999999999999}",30,0,-142.28520858790358,"{0: 16, 1: 5, 2: 6, 3: 2, 4: 1}",0
18,False,"{'a': 0.7, 'e': 0.9099999999999999}",30,0,-127.33190820711185,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.7, 'e': 0.9049999999999999}",20,0,-82.90623896818859,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.7, 'e': 0.8999999999999999}",20,0,-138.79805790876912,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,0,-177.5661394810073,"{0: 20, 1: 4, 2: 2, 3: 0, 4: 4}",0
2,True,"{'a': 0, 'e': 0}",20,0,-102.06442569772001,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,0,-154.52062956149936,"{0: 14, 1: 3, 2: 11, 3: 2, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-120.24593633831365,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-88.60340611102642,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-107.87615223621968,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-175.99153137449568,"{0: 8, 1: 5, 2: 4, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",20,0,-103.74607110681413,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-205.7766683951932,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",20,0,-157.37180396805266,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
